No,"Phase-to-phase Voltage
(Vrms) kV",Phase angle,Frequency,"Fault ground
Resistance Ω",Fault Location,MaxCoefA,MaxCoefB,MaxCoefC,MaxCoefGnd,A,B,C,G
61,250,0,60,0.6,Before transmission line,16097055.7100,40725475.3600,16097055.7100,13452.1162,1,1,1,1
62,250,0,60,0.6,Before transmission line,16097055.7100,40725475.3600,16097055.7100,0.0081,1,1,1,0
63,250,0,60,0.6,Before transmission line,10801323.8500,20379715.9000,103.9772,14524.9942,1,1,0,1
64,250,0,60,0.6,Before transmission line,20345722.5900,103.9772,8626015.4360,33909.5991,1,0,1,1
65,250,0,60,0.6,Before transmission line,103.9784,40725475.3600,7309908.0920,16605.2678,0,1,1,1
66,250,0,60,0.6,Before transmission line,10794282.0300,20362761.1100,103.9772,0.0087,1,1,0,0
67,250,0,60,0.6,Before transmission line,20362677.3800,103.9772,8615308.2840,0.0204,1,0,1,0
68,250,0,60,0.6,Before transmission line,103.9784,40725475.3600,7257318.2310,0.0100,0,1,1,0
69,250,0,60,0.6,Before transmission line,27049.5994,103.9772,103.9772,28529.5409,1,0,0,1
70,250,0,60,0.6,Before transmission line,103.9784,67809.6263,128.3881,21922.2290,0,1,0,1
71,250,0,60,0.6,Before transmission line,103.9784,103.9772,27167.5373,67762.7762,0,0,1,1
72,250,0,60,0.6,Before transmission line,103.9784,103.9772,103.9772,0.0000,0,0,0,0
73,250,0,60,0.7,Before transmission line,16097055.7100,40725475.3600,16097055.7100,11533.7579,1,1,1,1
74,250,0,60,0.7,Before transmission line,16097055.7100,40725475.3600,16097055.7100,0.0081,1,1,1,0
75,250,0,60,0.7,Before transmission line,10805661.2900,20377295.5200,103.9772,12437.2458,1,1,0,1
76,250,0,60,0.7,Before transmission line,20348142.9700,105.8279,8632910.3240,29068.8283,1,0,1,1
77,250,0,60,0.7,Before transmission line,103.9784,40725475.3600,7363615.2100,14245.9142,0,1,1,1
78,250,0,60,0.7,Before transmission line,10794282.0300,20362761.1100,103.9772,0.0087,1,1,0,0
79,250,0,60,0.7,Before transmission line,20362677.3800,103.9772,8615308.2840,0.0204,1,0,1,0
80,250,0,60,0.7,Before transmission line,103.9784,40725475.3600,7257318.2310,0.0100,0,1,1,0
81,250,0,60,0.7,Before transmission line,23201.6688,103.9772,103.9772,24457.6857,1,0,0,1
82,250,0,60,0.7,Before transmission line,103.9784,58143.0391,128.3728,18797.8489,0,1,0,1
83,250,0,60,0.7,Before transmission line,103.9784,103.9772,23300.0756,58096.1890,0,0,1,1
84,250,0,60,0.7,Before transmission line,103.9784,103.9772,103.9772,0.0000,0,0,0,0
85,250,0,60,0.8,Before transmission line,16097055.7100,40725475.3600,16097055.7100,10094.2524,1,1,1,1
86,250,0,60,0.8,Before transmission line,16097055.7100,40725475.3600,16097055.7100,0.0081,1,1,1,0
87,250,0,60,0.8,Before transmission line,7973090.9010,20375479.8500,103.9772,11054.4981,1,1,0,1
88,250,0,60,0.8,Before transmission line,20349958.6400,103.9772,8637942.3450,25437.4944,1,0,1,1
89,250,0,60,0.8,Before transmission line,103.9784,40725475.3600,6739522.7710,9260.7552,0,1,1,1
90,250,0,60,0.8,Before transmission line,10794282.0300,20362761.1100,103.9772,0.0087,1,1,0,0
91,250,0,60,0.8,Before transmission line,20362677.3800,103.9772,8615308.2840,0.0204,1,0,1,0
92,250,0,60,0.8,Before transmission line,103.9784,40725475.3600,7257318.2310,0.0100,0,1,1,0
93,250,0,60,0.8,Before transmission line,20313.4489,103.9772,103.9772,21402.9651,1,0,0,1
94,250,0,60,0.8,Before transmission line,103.9784,50890.0817,128.3614,16452.9548,0,1,0,1
